Sensor1	Sensor2	Sensor3	Sensor4	Sensor5	Sensor6	Sensor7	Sensor8	CO	C6H6	NOx	NO2
1360	1046	1056	1692	1268	13.6	48.9	0.7578	2.6	11.9	166	113
1292	955	1174	1559	972	13.3	47.7	0.7255	2	9.4	103	92
1402	939	1140	1555	1074	11.9	54.0	0.7502	2.2	9.0	131	114
1376	948	1092	1584	1203	11.0	60.0	0.7867	2.2	9.2	172	122
1272	836	1205	1490	1110	11.2	59.6	0.7888	1.6	6.5	131	116
1197	750	1337	1393	949	11.2	59.2	0.7848	1.2	4.7	89	96
1185	690	1462	1333	733	11.3	56.8	0.7603	1.2	3.6	62	77
1136	672	1453	1333	730	10.7	60.0	0.7702	1	3.3	62	76
1094	609	1579	1276	620	10.7	59.7	0.7648	0.9	2.3	45	60
1066	512	1918	1182	422	11.0	56.2	0.7366	0.7	1.1	16	28
1052	553	1738	1221	472	10.5	58.1	0.7353	0.7	1.6	34	48
1144	667	1490	1339	730	10.2	59.6	0.7417	1.1	3.2	98	82
1333	900	1136	1517	1102	10.8	57.4	0.7408	2	8.0	174	112
1351	960	1079	1583	1028	10.5	60.6	0.7691	2.2	9.5	129	101
1233	827	1218	1446	860	10.8	58.4	0.7552	1.7	6.3	112	98
1179	762	1328	1362	671	10.5	57.9	0.7352	1.5	5.0	95	92
1236	774	1301	1401	664	9.5	66.8	0.7951	1.6	5.2	104	95
1286	869	1162	1537	799	8.3	76.4	0.8393	1.9	7.3	146	112
1371	1034	983	1730	1037	8.0	81.1	0.8736	2.9	11.5	207	128
1310	933	1082	1647	946	8.3	79.8	0.8778	2.2	8.8	184	126
1292	912	1103	1591	957	9.7	71.2	0.8569	2.2	8.3	193	131
1383	1020	1008	1719	1104	9.8	67.6	0.8185	2.9	11.2	243	135
1581	1319	799	2083	1409	10.3	64.2	0.8065	4.8	20.8	281	151
1776	1488	702	2333	1704	9.7	69.3	0.8319	6.9	27.4	383	172
1640	1404	743	2191	1654	9.6	67.8	0.8133	6.1	24.0	351	165
1313	1076	957	1707	1285	9.1	64.0	0.7419	3.9	12.8	240	136
